staff_name,publication,publication_year
Xianghai AN,Unique defect evolution during the plastic deformation of a metal matrix composite,2019
Xianghai AN,Structural hierarchy defeats alloy cracking,2021
Xianghai AN,Opposite grain size dependence of strain rate sensitivity of copper at low vs high strain rates,2018
Xianghai AN,Determination of Young’s modulus of ultrathin nanomaterials,2015
Xianghai AN,Microcompression and cyclic deformation behaviors of coaxial copper bicrystals with a single twin boundary,2013
Xianghai AN,Twinning via the motion of incoherent twin boundaries nucleated at grain boundaries in a nanocrystalline Cu alloy,2014
Xianghai AN,Mechanical properties and deformation behaviours of submicron-sized Cu–Al single crystals,2022
Xianghai AN,Exceptional high fatigue strength in Cu-15at.% Al alloy with moderate grain size,2016
Xianghai AN,Evolution of initial grain boundaries and shear bands in Cu bicrystals during one-pass equal-channel angular pressing,2009
Xianghai AN,Enhancing strength and ductility of Mg–12Gd–3Y–0.5 Zr alloy by forming a bi-ultrafine microstructure,2011
Xianghai AN,Effects of elemental segregation on microstructural evolution and local mechanical properties in a dynamically deformed CrMnFeCoNi high entropy alloy,2021
Xianghai AN,Atomic-scale investigation of interface-facilitated deformation twinning in severely deformed Ag-Cu nanolamellar composites,2015
Xianghai AN,Mechanically driven annealing twinning induced by cyclic deformation in nanocrystalline Cu,2013
Xianghai AN,Key roles of particles in grain refinement and material strengthening for an aluminum matrix composite,2021
Xianghai AN,Effect of sample orientation and initial microstructures on the dynamic recrystallization of a Magnesium alloy,2017
Xianghai AN,"Size-dependent deformation behavior of dual-phase, nanostructured CrCoNi medium-entropy alloy",2021
Xianghai AN,Improving the strength and retaining the ductility of microstructural graded coarse-grained materials with low stacking fault energy,2018
Xianghai AN,Effect of cell wall on hydrogen response in CoCrFeMnNi high-entropy alloy additively manufactured by selective laser melting,2022
Xianghai AN,Composition-dependent dynamic precipitation and grain refinement in Al-Si system under high-pressure torsion,2021
Xianghai AN,Microstructure evolution and mechanical properties of fcc metallic materials subjected to equal channel angular pressing,2010
Xianghai AN,Friction stir additive manufacturing enabling scale-up of ultrafine-grained pure copper with superior mechanical properties,2022
Xianghai AN,Achieving equal strength joint to parent metal in a friction stir welded ultra-high strength quenching and partitioning steel,2020
Xianghai AN,Improved cyclic softening behavior of ultrafine-grained Cu with high microstructural stability,2019
Xianghai AN,Ultrahigh-strength submicron-sized metallic glass wires,2014
Xianghai AN,In situ atomistic observation of the deformation mechanism of Au nanowires with twin–twin intersection,2020
Xianghai AN,Length-scale-dependent nanoindentation creep behaviour of Ti/Al multilayers by magnetron sputtering,2018
Xianghai AN,Theory of transformation-mediated twinning,2023
Xianghai AN,Room-temperature super-elongation in high-entropy alloy nanopillars,2023
Xianghai AN,Influence of deformation microstructure on the precipitation behaviors of an Al-4Mg-0.3 Cu alloy,2017
Xianghai AN,Effect of titanium and titania on chemical characteristics of hydroxyapatite plasma-sprayed into water,2006
Xianghai AN,Understanding formation of Mg-depletion zones in Al-Mg alloys under high pressure torsion,2019
Xianghai AN,Kinetics of domain switching by mechanical and electrical stimulation in relaxor-based ferroelectrics,2017
Xianghai AN,Ultra-high specific strength and deformation behavior of nanostructured Ti/Al multilayers,2017
Xianghai AN,Fracture mechanism of an Al/AlN/CrAlN gradient coating on nitrogen implanted magnesium alloy,2016
Xianghai AN,Mechanical size effect of eutectic high entropy alloy: Effect of lamellar orientation,2021
Xianghai AN,Influence of solid solution strengthening on the local mechanical properties of single crystal and ultrafine-grained binary Cu–AlX solid solutions,2017
Xianghai AN,"INFLUNECE OF STACKING FAULT ENERGY ON THE MICROSTRUCTURES, TENSILE AND FATIGUE PROPERTIES OF NANOSTRUCTURED Cu-Al ALLOYS",2014
Xianghai AN,Remarkable toughness of a nanostructured medium-entropy nitride compound,2021
Xianghai AN,Grain size effects on high cycle fatigue behaviors of pure aluminum,2023
Xianghai AN,Fatigue-resistant design in low-cycle regime by regulating the micro-structural gradient in a TWIP steel: Modelling and experiment,2022
Xianghai AN,Cr depletion of the second phase particles in a Zr-Sn-Nb-Fe-Cr alloy: a TEM and SIMS study,2017
Xianghai AN,Comparative study on plasticity and fracture behaviour of Ti/Al multilayers,2018
Xianghai AN,The hot deformation behavior in austenite-ferrite heterostructured low density Fe-Mn-Al-C steel,2023
Xianghai AN,Enhanced High‐Temperature Strength of a Low‐Density Dispersion‐Strengthened Fe–Mn–Al–C Steel,2022
Xianghai AN,Effects of loading misalignment and tapering angle on the measured mechanical properties of nanowires,2015
Xianghai AN,Hierarchical heterogeneities engineering towards sustainable high-performing alloys,2024
Xianghai AN,Achieving high fatigue strength of large-scale ultrafine-grained copper fabricated by friction stir additive manufacturing,2023
Xianghai AN,"High-pressure-torsion-induced segregation, precipitation and grain refinement of Al-(Si, Mg and Cu) binary alloys",2024
Xianghai AN,Superior High‐Temperature Properties of Low‐Density Steel Enabled by a Tunable Hierarchical Microstructure,2023
Xianghai AN,Enhanced fatigue properties of large-scale ultrafine-grained copper fabricated by friction stir additive manufacturing and subsequent cold rolling,2024
Xianghai AN,Defect-healing of a laser-powder bed fusion Ti6Al4V alloy via electro-assisted micro-forging,2023
Xianghai AN,Influence of stacking fault energy on the microstructures and grain refinement in the Cu-Al alloys during equal-channel angular pressing,2010
Xianghai AN,Interstitial engineering enabling superior mechanical properties of nitrogen-supersaturated Fe50Mn30Co10Cr10 high-entropy alloys,2024
Xianghai AN,"Bidirectional Phase Transformations in Multi‐Principal Element Alloys: Mechanisms, Physics, and Mechanical Property Implications",2024
Xianghai AN,Dislocation Evolution in Cyclic‐Loaded Cu Nanopillars with Different Configurations,2024
Steven ARMFIELD,A representation of curved boundaries for the solution of the Navier–Stokes equations on a staggered three-dimensional Cartesian grid,2003
Steven ARMFIELD,Transient features of natural convection in a cavity,1990
Steven ARMFIELD,The fractional-step method for the Navier–Stokes equations on staggered grids: the accuracy of three variations,1999
Steven ARMFIELD,Finite difference solutions of the Navier-Stokes equations on staggered and non-staggered grids,1991
Steven ARMFIELD,Vortex shedding suppression for flow over a circular cylinder near a plane boundary,2000
Steven ARMFIELD,An analysis and comparison of the time accuracy of fractional‐step methods for the Navier–Stokes equations on staggered grids,2002
Steven ARMFIELD,Numerical simulation of breaking waves by a multi-scale turbulence model,2004
Steven ARMFIELD,Cooling solutions in an operational data centre: A case study,2011
Steven ARMFIELD,Numerical simulation of flow in a natural draft wet cooling tower–The effect of radial thermofluid fields,2008
Steven ARMFIELD,Wave properties of natural-convection boundary layers,1992
Steven ARMFIELD,Direct simulation of natural convection cooling in a vertical circular cylinder,1999
Steven ARMFIELD,Natural convection cooling of rectangular and cylindrical containers,2001
Steven ARMFIELD,A simplified marker and cell method for unsteady flows on non‐staggered grids,1995
Steven ARMFIELD,Direct simulation of weak axisymmetric fountains in a homogeneous fluid,2000
Steven ARMFIELD,Unsteady natural convection in a water-filled isosceles triangular enclosure heated from below,2008
Steven ARMFIELD,Large eddy simulation of a propagating turbulent premixed flame,2003
Steven ARMFIELD,Low-Reynolds-number fountain behaviour,2008
Steven ARMFIELD,Scaling investigation of the natural convection boundary layer on an evenly heated plate,2007
Steven ARMFIELD,A direct boundary-layer stability analysis of steady-state cavity convection flow,1996
Steven ARMFIELD,A framework for memetic optimization using variable global and local surrogate models,2009
Steven ARMFIELD,Comparison of a 2D axisymmetric CFD model of a natural draft wet cooling tower and a 1D model,2008
Steven ARMFIELD,Direct simulation of wave interactions in unsteady natural convection in a cavity,1991
Steven ARMFIELD,Reducing numerical diffusion in interfacial gravity wave simulations,2005
Steven ARMFIELD,Conjugate natural convection heat transfer in a partitioned differentially-heated square cavity,2017
Steven ARMFIELD,Boundary layer development on a semi-infinite suddenly heated vertical plate,2002
Steven ARMFIELD,"Ellipticity, accuracy, and convergence of the discrete Navier-Stokes equations",1994
Steven ARMFIELD,Cooling of a Pr< 1 fluid in a rectangular container,2007
Steven ARMFIELD,Prediction of turbulence quantities for swirling flow in conical diffusers,1990
Steven ARMFIELD,Fractional step methods for the Navier–Stokes equations on non-staggered grids,2000
Steven ARMFIELD,Numerical study of internal wave reflection from sloping boundaries,1999
Steven ARMFIELD,Prandtl number scaling of unsteady natural convection boundary layers for  fluids under isothermal heating,2009
Steven ARMFIELD,The Reynolds and Prandtl number dependence of weak fountains,2003
Steven ARMFIELD,Characteristics of wind field in a street canyon,1995
Steven ARMFIELD,Unsteady natural convection boundary-layer flow of a linearly-stratified fluid with Pr< 1 on an evenly heated semi-infinite vertical plate,2008
Steven ARMFIELD,Very weak fountains in a homogeneous fluid,2000
Steven ARMFIELD,Forced turbulent fountain flow behaviour,2011
Steven ARMFIELD,Stability properties of the vertical boundary layers in differentially heated cavities,1996
Steven ARMFIELD,Numerical study of internal wave–wave interactions in a stratified fluid,2000
Steven ARMFIELD,Comparison of k–ϵ and algebraic Reynolds stress models for swirling diffuser flow,1989
Steven ARMFIELD,Unsteady natural convection on an evenly heated vertical plate for Prandtl number ,2005
Steven ARMFIELD,Purging of density stabilized basins,1993
Steven ARMFIELD,Scaling of unsteady natural convection boundary layers with a non-instantaneous initiation,2009
Steven ARMFIELD,Thermal performance of an air-cooled data center with raised-floor and non-raised-floor configurations,2014
Steven ARMFIELD,Experimental and numerical investigation of unsteady behaviour in the near-field of pure thermal planar plumes,2013
Steven ARMFIELD,A versatile surrogate-assisted memetic algorithm for optimization of computationally expensive functions and its engineering applications,2008
Steven ARMFIELD,Direct simulation of weak laminar plane fountains in a homogeneous fluid,2000
Steven ARMFIELD,Computational study of a micro-turbine engine combustor using large eddy simulation and Reynolds averaged turbulence models,2007
Steven ARMFIELD,Long-term behavior of cooling fluid in a vertical cylinder,2005
Steven ARMFIELD,Thermal optimization of a natural draft wet cooling tower,2008
Steven ARMFIELD,Unsteady natural convection boundary-layer flow along a vertical isothermal plate in a linearly stratified fluid with Pr> 1,2002
Steven ARMFIELD,Experimental and large eddy simulation results for the purging of salt water from a cavity by an overflow of fresh water,2005
Steven ARMFIELD,Onset of entrainment in transitional round fountains,2008
Steven ARMFIELD,Nutrient transport from an artificial upwelling of deep sea water,2009
Steven ARMFIELD,Numerical investigation of a small gas turbine compressor,2007
Steven ARMFIELD,Experimental investigation into turbulent negatively buoyant jets using combined PIV and PLIF measurements,2020
Steven ARMFIELD,Transition to stably stratified states in open channel flow with radiative surface heating,2015
Steven ARMFIELD,Boundary layer instability of the natural convection flow on a uniformly heated vertical plate,2012
Steven ARMFIELD,Natural convection in a vertical slot: accurate solution of the linear stability equations,2003
Steven ARMFIELD,The purging of saline water from rectangular and trapezoidal cavities by an overflow of turbulent sweet water,1997
Steven ARMFIELD,A parallel non-staggered Navier-Stokes solver implemented on a workstation cluster,2003
Steven ARMFIELD,Modified fractional-step methods for the Navier-Stokes equations,2003
Steven ARMFIELD,Weak fountains in a stratified fluid,2002
Steven ARMFIELD,Stability and transition of stratified natural convection flow in open cavities,2001
Steven ARMFIELD,Transition behaviour of weak turbulent fountains,2010
Steven ARMFIELD,The pressure accuracy of fractional-step methods for the Navier-Stokes equations on staggered grids,2002
Steven ARMFIELD,Non-parallel linear stability analysis of the vertical boundary layer in a differentially heated cavity,1997
Steven ARMFIELD,Prandtl number dependence and instability mechanism of the near-field flow in a planar thermal plume,2013
Steven ARMFIELD,Transition to oscillatory flow in a differentially heated cavity with a conducting partition,2012
Steven ARMFIELD,A memetic algorithm using a trust-region derivative-free optimization with quadratic modelling for optimization of expensive and noisy black-box functions,2007
Steven ARMFIELD,Line fountain behavior at low-Reynolds number,2010
Steven ARMFIELD,Height and stability of laminar plane fountains in a homogeneous fluid,2008
Steven ARMFIELD,A comparison of parametric and multivariable optimization techniques in a raised-floor data center,2013
Steven ARMFIELD,Scaling for unsteady thermo-magnetic convection boundary layer of paramagnetic fluids of Pr> 1 in micro-gravity conditions,2009
Steven ARMFIELD,Scaling laws for unsteady natural convection cooling of fluid with Prandtl number less than one in a vertical cylinder,2005
Steven ARMFIELD,Stability and Nusselt number scaling for inclined differentially heated cavity flow,2016
Steven ARMFIELD,Scalings for unsteady natural convection boundary layers on an evenly heated plate with time-dependent heating flux,2013
Steven ARMFIELD,Long-term behavior of cooling fluid in a rectangular container,2004
Steven ARMFIELD,Numerical simulation of swirling flow in diffusers,1986
Steven ARMFIELD,Turbulent dense gas flow characteristics in swirling conical diffuser,2017
Steven ARMFIELD,Scalings for unsteady natural convection boundary layers on a vertical plate at time-dependent temperature,2017
Steven ARMFIELD,Large eddy simulation of turbulent natural convection between symmetrically heated vertical parallel plates for water,2016
Steven ARMFIELD,Unified Prandtl number scaling for start-up and fully developed natural-convection boundary layers for both Pr  and Pr  fluids with isothermal heating,2012
Steven ARMFIELD,Instability of the buoyancy layer on an evenly heated vertical wall,2007
Steven ARMFIELD,A comparison of staggered and non-staggered grid Navier--Stokes solutions for the 8: 1 cavity natural convection flow,2004
Steven ARMFIELD,Natural convection in a cavity with time-varying thermal forcing on a sidewall,2020
Steven ARMFIELD,Simulation and analysis of puffing instability in the near field of pure thermal planar plumes,2013
Steven ARMFIELD,Law of the wall for a temporally evolving vertical natural convection boundary layer,2020
Steven ARMFIELD,Micro propulsion activities at the University of Sydney,2010
Steven ARMFIELD,Stability of a temporally evolving natural convection boundary layer on an isothermal wall,2019
Steven ARMFIELD,Evolution of thermally stratified turbulent open channel flow after removal of the heat source,2019
Steven ARMFIELD,Open boundary conditions in numerical simulations of unsteady incompressible flow,2008
Steven ARMFIELD,Characterising entrainment in fountains and negatively buoyant jets,2022
Steven ARMFIELD,Effect of under-floor blockages and perforated tile openings on the performance of raised-floor data centres,2010
Steven ARMFIELD,Entrainment and structure of negatively buoyant jets,2021
Steven ARMFIELD,Turbulence structure of neutral and negatively buoyant jets,2021
Steven ARMFIELD,Comparison of non‐reflective boundary conditions for a free‐rising turbulent axisymmetric plume,2013
Steven ARMFIELD,Thermal performance of data centers-rack level analysis,2013
Steven ARMFIELD,Metamodel accuracy assessment in evolutionary optimization,2008
Steven ARMFIELD,Natural convection flow of air in an inclined open cavity,2003
Steven ARMFIELD,Vortex convection produced by V-shaped dihedral obstruction,1994
Steven ARMFIELD,Shear driven purging of negatively buoyant fluid from trapezoidal depressions and cavities,2012
Steven ARMFIELD,Laminar plane fountains impinging on a ceiling with an opposing heat flux,2009
Steven ARMFIELD,Impinging plane fountains in a homogeneous fluid,2009
Steven ARMFIELD,A divergence free fractional step method for the Navier-Stokes equations on non-staggered grids,2009
Steven ARMFIELD,Asymmetry and penetration of transitional plane fountains in stratified fluid,2015
Steven ARMFIELD,Behaviour of laminar plane fountains with a parabolic inlet velocity profile in a homogeneous fluid,2013
Steven ARMFIELD,Numerical study of internal wave–caustic and internal wave–shear interactions in a stratified fluid,2000
Steven ARMFIELD,Parameterization of mixing in stratified open channel flow,2022
Steven ARMFIELD,Direct simulation of fountains with intermediate Froude and Reynolds numbers,2003
Steven ARMFIELD,Simulation of vortex shedding flows using high-order fractional step methods,2000
Steven ARMFIELD,Natural convection boundary-layer flow on an evenly heated vertical plate with time-varying heating flux in a stratified Pr< 1 fluid,2019
Steven ARMFIELD,Transitional ventilated filling box flow with a line heat source,2012
Steven ARMFIELD,A comparative study of raised-floor and hard-floor configurations in an air-cooled data centre,2012
Steven ARMFIELD,On the stability and performance of the projection-3 method for the time integration of the Navier-Stokes equations,2007
Steven ARMFIELD,Numerical simulation of heat and mass transfer in a natural draft wet cooling tower,2004
Steven ARMFIELD,Destratification of thermally stratified turbulent open-channel flow by surface cooling,2020
Steven ARMFIELD,Pressure related instabilities of reduced Navier–Stokes equations for internal flows,1986
Steven ARMFIELD,High Grashof number turbulent natural convection on an infinite vertical wall,2021
Steven ARMFIELD,Numerical solution of the Orr–Sommerfeld equation using the viscous Green function and split-Gaussian quadrature,2009
Steven ARMFIELD,Entrainment across a sheared density interface in a cavity flow,2018
Steven ARMFIELD,Penetration height of transitional round fountains in a linearly stratified fluid,2017
Steven ARMFIELD,Large Eddy Simulation of complex sidearms subject to solar radiation and surface cooling,2013
Steven ARMFIELD,Direct simulation of unsteady natural convection in a cavity,1989
Steven ARMFIELD,Rectangular lattice Boltzmann method using multiple relaxation time collision operator in two and three dimensions,2020
Steven ARMFIELD,Thermal management issues in operational data centers: Computational fluid dynamics analysis and experimental study,2017
Steven ARMFIELD,Analysis of exergy destruction in data centres,2012
Steven ARMFIELD,A memetic algorithm assisted by an adaptive topology RBF network and variable local models for expensive optimization problems,2008
Steven ARMFIELD,Numerical Simulations of Transition and Separation on a Small Turbine Cascade,2006
Steven ARMFIELD,A robust evolutionary technique for couples and multidisciplinary design optimization problems in aeronautics,2005
Steven ARMFIELD,A two-dimensional multi-scale turbulence model for breaking waves,2001
Steven ARMFIELD,Turbulence structure in a very sharp thermally stratified open-channel meander,2022
Steven ARMFIELD,Lateral circulation in a stratified open channel on a 120 bend,2012
Steven ARMFIELD,The transient behaviour of a differentially heated cavity with isoflux boundaries,2004
Steven ARMFIELD,Direct numerical simulation of transient performance in a rectangular closure with a non-staggered mesh scheme,1998
Steven ARMFIELD,The turbulence development of a vertical natural convection boundary layer,2023
Steven ARMFIELD,Prandtl number scalings for unsteady natural convection boundary-layer flow on an evenly heated vertical plate in a homogeneous Pr> 1 fluid,2020
Steven ARMFIELD,A compact fourth-order spatial discretisation applied to the Navier-Stokes equations,2014
Steven ARMFIELD,Three-dimensional simulation of natural convection in a reservoir sidearm,2013
Steven ARMFIELD,Numerical and experimental investigation of helicopter fuselage aerodynamics,2010
Steven ARMFIELD,Natural convection flow in the cavity with isoflux boundaries,2006
Steven ARMFIELD,Conduction blocking effects in stratified intrusion jets,1992
Steven ARMFIELD,Transition to asymmetry of transitional round fountains in a linearly stratified fluid,2017
Steven ARMFIELD,Bifurcation of natural convection flow in an inclined differentially heated closed square cavity,2015
Steven ARMFIELD,Exergy-based performance metrics to evaluate irreversibility in data centre environment airspace,2012
Steven ARMFIELD,The lattice Boltzmann method for turbulent channel flows using graphics processing units,2010
Steven ARMFIELD,PRANDTL NUMBER SCALING OF THE NATURAL CONVECTION FLOW OVER AN EVENLY HEATED VERTICAL PLATE (PR>1),2008
Steven ARMFIELD,A computational study of the influence of the injection characteristics on micro-turbine combustion,2007
Steven ARMFIELD,A novel evolutionary algorithm for efficient minimization of expensive black-box functions with assisted-modelling,2006
Steven ARMFIELD,Efficiently minimizing expensive cost functions with a hybrid evolutionary algorithm using clustering and a derivative-free optimizer: preliminary results,2005
Steven ARMFIELD,Unsteady natural convection in tall side‐heated cavities,2002
Steven ARMFIELD,Start-up flow on a vertical semi-infinite heated plate,2000
Steven ARMFIELD,Vectorized poisson solvers for the Navier–Stokes equations,1993
Steven ARMFIELD,Simulation of Internal Swirling Flow Using Mixing Length and k–ε Turbulence Models,1986
Steven ARMFIELD,Intermittency and critical mixing in internally heated stratified channel flow,2023
Steven ARMFIELD,Oblique-mode breakdown of the vertical buoyancy layer,2022
Steven ARMFIELD,Entrainment and dilution in a fountain top,2022
Steven ARMFIELD,Correlations for maximum penetration heights of transitional plane fountains in linearly stratified fluids,2016
Steven ARMFIELD,"Behavior of the interaction between twin transitional round fountains in a homogeneous fluid, Part 1: Experimental study",2015
Steven ARMFIELD,"Behavior of the interaction between twin transitional round fountains in a homogeneous fluid, Part 2: Numerical study",2015
Steven ARMFIELD,Stability characteristics of conjugate natural convection boundary layers,2010
Steven ARMFIELD,Numerical Study of 3D Nonlinear Disturbance Growth in Transitional Natural Convection,2010
Steven ARMFIELD,Airfoil Shape Optimization by Minimization of an Expensive and Discontinuous Black-box Function,2007
Steven ARMFIELD,Stability of natural convection boundary layer flow on an evenly heated vertical plate,2006
Steven ARMFIELD,Linear stability of natural convection on an evenly heated vertical wall,2004
Steven ARMFIELD,"Two-point boundary value problems, Green's functions, and product integration",2004
Steven ARMFIELD,Separation points and the near wake of a circular cylinder near a plane boundary,2000
Steven ARMFIELD,Scaling laws for natural convection boundary layer of a Pr> 1 fluid on a vertical solid surface subject to a sinusoidal temperature in a linearly-stratified ambient fluid,2024
Steven ARMFIELD,Effects of meander curvature in thermally stratified turbulent open-channel flow,2022
Steven ARMFIELD,Scalings for unsteady natural convection boundary layer under time-varying heating flux in a small Prandtl number fluid,2021
Steven ARMFIELD,Buoyancy distribution in a filling box segmented by a planar jet,2021
Steven ARMFIELD,Entrainment in the crown region of forced turbulent fountains,2018
Steven ARMFIELD,Resonance in Natural Convection Flow Subjected to Time-varying Thermal Forcing in an Air-filled Cavity,2018
Steven ARMFIELD,Onset of asymmetry and three-dimensionality in transitional round fountains in a linearly stratified fluid,2012
Steven ARMFIELD,Development of a micro turboprop to extend altitude capabilities of small UAVs,2011
Steven ARMFIELD,Stability and accuracy of various difference schemes for the lattice Boltzmann method,2011
Steven ARMFIELD,Natural convection in a sidewall heated cube using an immersed boundary method,2010
Steven ARMFIELD,Direct numerical simulation of turbulent intermediate Froude number fountain flow,2008
Steven ARMFIELD,The Conduction and Convection Regimes in a Cavity with Evenly Heated and Cooled Vertical Walls,2005
Steven ARMFIELD,Stratification and temporal evolution of mixing regimes in diurnally heated river flows,2023
Steven ARMFIELD,Effect of Thermal Stratification in Meandering Turbulent Open-Channel Flow with Varying Sinuosity,2023
Steven ARMFIELD,Large-scale motions in a turbulent natural convection boundary layer immersed in a stably stratified environment,2023
Steven ARMFIELD,Scaling laws for natural convection boundary layer of a Pr> 1 fluid on a vertical solid surface subject to a sinusoidal heating flux in a linearly stratified ambient,2022
Steven ARMFIELD,Natural convection in a cavity with time-dependent flux boundary,2021
Steven ARMFIELD,Entrainment in pulsing plumes,2019
Steven ARMFIELD,Characteristics of unsteadiness for transitional plane fountains in linearly stratified fluids,2019
Steven ARMFIELD,Experimental investigation into turbulent negatively buoyant jets using combined PIV and LIF measurements,2018
Steven ARMFIELD,Direct numerical simulation and large eddy simulation of wind shear effects on non-stratified open channel flow,2018
Steven ARMFIELD,Transient natural convection flow in a cavity subject to time-varying sidewall heating and cooling,2016
Steven ARMFIELD,Hydrodynamic stability analysis of sheared convective boundary layer flows in stratified environments,2015
Steven ARMFIELD,Comparison of semi-implicit and explicit finite difference algorithms on highly parallel processing architectures,2014
Steven ARMFIELD,A numerical and experimental study on the unsteady conjugate natural convection boundary layers in a water filled rectangular cavity with a conducting partition wall at varied …,2014
Steven ARMFIELD,A new experimental rig for investigations of sheared convective boundary layers,2012
Steven ARMFIELD,A second law approach to the thermal management of raised floor data centres,2011
Steven ARMFIELD,Preconditioning in parallel for fractional step Navier--Stokes solvers,2011
Steven ARMFIELD,Numerical study of a transitional natural ventilation flow driven by a line source plume with varied Reynolds and Prandtl numbers,2011
Steven ARMFIELD,Numerical simulation of a natural ventilation flow with a line heat source using various advection schemes,2010
Steven ARMFIELD,Recent Advances in Turbulence Modeling for Unsteady Breaking Waves,2010
Steven ARMFIELD,Comparison of approximate inverse preconditioners for the fractional step Navier--Stokes equations,2010
Steven ARMFIELD,RANS Simulations of a Small Turbine Cascade,2007
Steven ARMFIELD,Using Green's functions and split Gaussian integration for two-point boundary value problems on the ray,2006
Steven ARMFIELD,Swirling diffuser flow using a reduced Navier-stokes formulation,2005
Steven ARMFIELD,A note on the relation of Gaussian elimination to the conjugate directions algorithm,2004
Steven ARMFIELD,Scaling analysis and direct simulation of unsteady natural convection cooling of fluid with Pr< 1 in a vertical cylinder,2004
Steven ARMFIELD,A numerical study on the unsteady evolution of weak axisymmetric fountain flows in a homogeneous ambient,2000
Steven ARMFIELD,A numerical study of vortex shedding from a circular cylinder near a wall,1998
Steven ARMFIELD,Finite difference solutions of vortex generation and shedding from a circular cylinder in oscillatory plus mean flow,1997
Steven ARMFIELD,A parametric numerical model for lake hydrodynamics,1996
Steven ARMFIELD,Fourth order elliptic correction for the Navier–Stokes equations on non‐staggered grids,1996
